arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
fixed_gravity,0,-376.11,11.98,-0.251,0.072,10
fixed_gravity,10,-298.77,26.35,-0.03,0.083,10
fixed_gravity,20,-322.35,40.09,-0.3,0.17,10
fixed_gravity,30,-348.1,38.6,-0.361,0.151,10
fixed_gravity,40,-361.89,35.45,-0.471,0.143,10
fixed_gravity,50,-286.41,54.89,-0.24,0.206,10
fixed_gravity,60,-310.98,53.25,-0.347,0.216,10
fixed_gravity,70,-257.32,68.83,-0.261,0.261,10
fixed_gravity,80,-173.49,58.87,0.085,0.22,10
fixed_gravity,90,-167.14,63.39,0.02,0.227,10
fixed_gravity,100,-199.96,69.57,-0.102,0.258,10
fixed_gravity,110,15.37,70.37,0.796,0.277,10
fixed_gravity,120,-73.56,80.78,0.458,0.34,10
fixed_gravity,130,20.48,43.26,0.591,0.167,10
fixed_gravity,140,197.09,95.87,1.324,0.423,10
fixed_gravity,150,167.26,78.03,1.017,0.318,10
fixed_gravity,160,250.52,80.05,1.49,0.44,10
fixed_gravity,170,258.02,61.22,1.399,0.338,10
fixed_gravity,180,249.48,39.87,1.369,0.249,10
fixed_gravity,190,391.29,95.12,1.855,0.534,10
fixed_gravity,200,381.12,79.3,1.85,0.474,10
fixed_gravity,210,469.57,129.7,2.159,0.701,10
fixed_gravity,220,511.38,164.15,2.647,0.959,10
fixed_gravity,230,487.48,129.97,2.343,0.732,10
fixed_gravity,240,521.11,136.86,2.551,0.793,10
fixed_gravity,250,539.15,111.3,2.467,0.678,10
fixed_gravity,260,554.93,138.94,2.741,0.867,10
fixed_gravity,270,585.75,171.23,3.002,1.057,10
fixed_gravity,280,540.04,110.52,2.672,0.778,10
fixed_gravity,290,490.34,143.73,2.521,0.897,10
fixed_gravity,300,511.98,82.19,2.409,0.59,10
fixed_gravity,310,631.84,148.53,2.995,0.929,10
fixed_gravity,320,668.86,165.95,3.269,1.064,10
fixed_gravity,330,611.13,166.07,3.09,1.022,10
fixed_gravity,340,632.59,155.46,3.151,0.994,10
fixed_gravity,350,628.01,156.42,3.192,1.025,10
fixed_gravity,360,629.63,139.75,3.085,0.916,10
fixed_gravity,370,628.27,137.78,3.034,0.913,10
fixed_gravity,380,686.65,147.32,3.255,0.964,10
fixed_gravity,390,711.38,191.97,3.488,1.203,10
fixed_gravity,400,722.6,196.13,3.66,1.256,10
fixed_gravity,410,673.33,159.75,3.413,1.068,10
fixed_gravity,420,690.41,158.22,3.383,1.061,10
fixed_gravity,430,763.5,212.9,3.952,1.399,10
fixed_gravity,440,815.98,210.3,4.084,1.378,10
fixed_gravity,450,843.09,239.9,4.398,1.565,10
fixed_gravity,460,852.12,235.3,4.36,1.522,10
fixed_gravity,470,816.53,244.91,4.354,1.617,10
