gen,best,mean,sigma,penalty_scale,correction_scale,elapsed_s
0,-36.204186638892104,-71.41321099326554,0.49057902753507987,0.2,0.0,1.7911980152130127
1,-36.42686837494953,-69.54005515571558,0.48227734389681903,0.20400000000000001,0.0025,0.21625995635986328
2,-46.31552393016195,-69.33832376855608,0.4748797979057445,0.20800000000000002,0.005,0.21439194679260254
3,-41.73477440740424,-67.5572415332434,0.4684085681646904,0.21200000000000002,0.0075,0.24028515815734863
4,13.478769988784313,-58.33085808836283,0.46253015948212584,0.21600000000000003,0.01,0.2658681869506836
5,73.27810353090113,-55.41470035406481,0.45722587820767685,0.22000000000000003,0.0125,0.28136396408081055
6,15.242848442638001,-58.6746346060137,0.45217553538534866,0.224,0.015,0.29396629333496094
7,68.84939440943553,-54.03407940952172,0.447670700831293,0.228,0.0175,0.30209779739379883
8,-3.5756894122879097,-58.1045740455985,0.44361860108381845,0.232,0.02,0.2879490852355957
9,-25.371081439638786,-64.13217907908889,0.4399459376090357,0.23600000000000002,0.0225,0.3110790252685547
10,28.600992490002273,-57.85521403539136,0.43657720314809983,0.24000000000000002,0.025,0.324476957321167
11,161.66483455386185,-47.64814417013382,0.43330875796139473,0.24400000000000002,0.0275,0.35899901390075684
12,150.5818664555006,-22.472699931240037,0.43032765609942397,0.248,0.03,0.4057309627532959
13,155.37552492385143,-34.52673151177801,0.4274078240881207,0.252,0.0325,0.39349865913391113
14,141.41932686082308,-32.19026379902996,0.4248735533665894,0.256,0.035,0.3892371654510498
15,149.91085688831978,-29.222163231144656,0.42243680108385834,0.26,0.0375,0.42392706871032715
16,138.33409959329938,-13.46835202527993,0.4201837824799232,0.264,0.04,0.46102190017700195
17,145.80014979280392,-16.10860102059987,0.4180516752926867,0.268,0.0425,0.3911149501800537
18,144.01497997885232,5.763304772596995,0.4159420499124421,0.272,0.045,0.4487895965576172
19,144.99813593007082,-13.884787287441313,0.41412909268914344,0.276,0.0475,0.4070291519165039
20,139.6964519148955,1.1593573427634016,0.41231142056344755,0.28,0.05,0.40970683097839355
21,142.96996828628892,19.249731315994808,0.41078066136228636,0.28400000000000003,0.0525,0.5106420516967773
22,142.4168999550766,15.441969455134625,0.4093515044480007,0.28800000000000003,0.055,0.5207829475402832
23,143.4274218017151,10.867593877018539,0.4079842353861423,0.29200000000000004,0.0575,0.5293922424316406
24,142.07774107431882,4.335959820157906,0.4065322559593935,0.29600000000000004,0.06,0.4683866500854492
25,151.09778870657303,44.638350229640935,0.40534189960213773,0.30000000000000004,0.0625,0.5246562957763672
26,149.24678851945262,31.32346148404077,0.4041894298609477,0.30400000000000005,0.065,0.5326447486877441
27,146.6763496517806,35.81555686072657,0.4031196958363343,0.30800000000000005,0.0675,0.5787909030914307
28,151.17292452385038,-10.116403471669921,0.40210590606295643,0.31200000000000006,0.07,0.6075468063354492
29,144.24348434038907,16.900381406926357,0.40111108304316306,0.316,0.0725,0.5083332061767578
30,146.30604658678544,17.102452593030414,0.4002358006110186,0.32,0.075,0.5752229690551758
31,143.45256384134385,39.455176125732564,0.39938459842064306,0.324,0.0775,0.5783429145812988
32,155.66574637616222,59.84646810317308,0.39872512100878144,0.328,0.08,0.5896918773651123
33,152.3475423172066,22.937735966468885,0.3982407166000579,0.332,0.0825,0.5699739456176758
34,138.3280251948707,67.9892022568479,0.3976457721216845,0.336,0.085,0.5789330005645752
35,134.0140804174556,26.521112892020835,0.39719190976659147,0.33999999999999997,0.0875,0.582935094833374
36,158.7561387862329,28.447548561748853,0.3966770479670123,0.344,0.09,0.5563461780548096
37,140.49394243551956,28.11788810022971,0.39624984245354067,0.348,0.0925,0.4999077320098877
38,138.60481065181216,22.270538298721796,0.3957756599087212,0.35200000000000004,0.095,0.5452492237091064
39,141.21799301888208,-6.245208449410731,0.39559819555589126,0.35600000000000004,0.0975,0.5539610385894775
40,143.58927157705259,55.66776033167887,0.3954070543974148,0.36000000000000004,0.1,0.5554649829864502
41,135.9661751406721,31.236393117546974,0.39518799600055804,0.364,0.1025,0.6508071422576904
42,144.20021409500862,-16.150322794509073,0.395060591036437,0.368,0.105,0.5780391693115234
43,154.81278022286824,5.349078013579401,0.3949760550137806,0.372,0.1075,0.5391390323638916
44,146.98387935818388,29.8080115995933,0.3949831962308135,0.376,0.11,0.6197130680084229
45,135.06423819456097,17.061012048417098,0.39507369278162807,0.38,0.1125,0.5749287605285645
46,151.35487941535914,24.719961012994787,0.39516068443286123,0.384,0.115,0.5741491317749023
47,136.38256957653311,16.849935504598797,0.3951841983062806,0.388,0.1175,0.5749361515045166
48,142.76317120357893,6.0612290909894835,0.39517750386691736,0.392,0.12,0.5868289470672607
49,166.48020347413902,29.68385946497707,0.3951867827858421,0.396,0.1225,0.6688530445098877
