gen,best,mean,sigma,penalty_scale,correction_scale,elapsed_s
0,-36.204186638892104,-71.41321099326554,0.49057902753507987,0.2,0.0,1.794877052307129
1,-36.42686837494953,-69.54005515571558,0.48227734389681903,0.20400000000000001,0.0025,0.2162339687347412
2,-46.31552393016195,-69.33832376855608,0.4748797979057445,0.20800000000000002,0.005,0.22132587432861328
3,-41.73477440740424,-67.5572415332434,0.4684085681646904,0.21200000000000002,0.0075,0.243635892868042
4,13.478769988784313,-58.33085808836283,0.46253015948212584,0.21600000000000003,0.01,0.26818299293518066
5,73.27810353090113,-55.41470035406481,0.45722587820767685,0.22000000000000003,0.0125,0.3097808361053467
6,15.242848442638001,-58.6746346060137,0.45217553538534866,0.224,0.015,0.2978188991546631
7,68.84939440943553,-54.03407940952172,0.447670700831293,0.228,0.0175,0.3084678649902344
8,-3.5756894122879097,-58.1045740455985,0.44361860108381845,0.232,0.02,0.30193495750427246
9,-25.371081439638786,-64.13217907908889,0.4399459376090357,0.23600000000000002,0.0225,0.3055450916290283
