gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-49.52529456273053,-75.87589741356106,0.4904575066634807,0.2,0.0,-1.6,lv0(a=0),1.5508391857147217
1,-59.36380280696934,-75.34910743059883,0.48202209690828357,0.20400000000000001,0.0025,-1.6,lv0(a=1),0.1662132740020752
2,-60.74216295511866,-76.55552464642962,0.4745128276822687,0.20800000000000002,0.005,-1.6,lv0(a=2),0.208604097366333
3,-59.79695605727002,-79.12915680240992,0.4678148739328867,0.21200000000000002,0.0075,-1.6,lv0(a=3),0.21425104141235352
4,-56.82454803899058,-76.06754201077253,0.4618823744973809,0.21600000000000003,0.01,-1.6,lv0(a=4),0.20632696151733398
5,-59.09594246279466,-77.52083246599355,0.4564844235903044,0.22000000000000003,0.0125,-1.6,lv0(a=5),0.2292931079864502
6,-57.85590338947649,-75.22800198289868,0.45159798478126495,0.224,0.015,-1.6,lv0(a=5),0.30101919174194336
7,-56.024924737539244,-71.92720819360542,0.4470521144041994,0.228,0.0175,-1.6,lv0(a=5),0.2228407859802246
8,-56.395590811448876,-71.37267261958678,0.4428464821829539,0.232,0.02,-1.6,lv0(a=5),0.293914794921875
9,-53.194647844925676,-69.64390485253588,0.4387908824150759,0.23600000000000002,0.0225,-1.6,lv0(a=5),0.3155841827392578
10,-35.14858699686877,-67.78060664451499,0.43497547124397046,0.24000000000000002,0.025,-1.6,lv0(a=5),0.34935998916625977
11,-35.7299362835557,-64.6553076857524,0.43165294138106125,0.24400000000000002,0.0275,-1.6,lv0(a=5),0.399522066116333
12,-39.42398781241773,-60.64425213582486,0.42845425630237877,0.248,0.03,-1.6,lv0(a=5),0.47046589851379395
13,-17.13292427629831,-52.520073146555795,0.4254345210575356,0.252,0.0325,-1.6,lv0(a=5),0.506281852722168
14,-16.77028122324289,-50.90811428472112,0.42244440179643206,0.256,0.035,-1.6,lv0(a=5),0.6065948009490967
15,5.671118193121788,-44.514556803032534,0.4198965561581926,0.26,0.0375,-1.6,lv0(a=5),0.6712610721588135
16,115.33860645943179,-23.527378916113015,0.4175315689146414,0.264,0.04,-1.6,lv0(a=5),0.8451659679412842
17,204.8851334457174,-7.999979556306459,0.4153104161568771,0.268,0.0425,-1.6,lv0(a=5),1.189026117324829
18,299.4559419765429,-9.346674432260148,0.4133332188221264,0.272,0.045,-1.6,lv0(a=5),1.117542028427124
19,259.4899336151945,12.502387028488222,0.411445384678204,0.276,0.0475,-1.6,lv0(a=5),1.1647558212280273
20,213.59879987926092,65.33178699785132,0.4097456769848869,0.28,0.05,-1.6,lv0(a=5),1.298820972442627
21,210.31998723223577,112.87728020468617,0.40840521162332416,0.28400000000000003,0.0525,-1.6,lv0(a=5),1.4412751197814941
22,351.3886206608949,134.49552848108655,0.4072447352026097,0.28800000000000003,0.055,-1.6,lv0(a=5),1.505631923675537
23,323.8049800575622,138.18765147273479,0.4063764296398978,0.29200000000000004,0.0575,-1.6,lv0(a=5),1.964061975479126
24,244.8586815333426,134.23854808993542,0.4055545597259618,0.29600000000000004,0.06,-1.6,lv0(a=5),1.7796061038970947
25,301.79051063404387,111.99413882490929,0.4047603302064313,0.30000000000000004,0.0625,-1.6,lv0(a=5),2.1079471111297607
26,388.9554119586642,94.56256907152058,0.40413638171352717,0.30400000000000005,0.065,-1.6,lv0(a=5),1.9603219032287598
27,449.43312478385695,156.22140007445628,0.40342302779124145,0.30800000000000005,0.0675,-1.6,lv0(a=5),1.9923017024993896
28,301.1957836537095,97.2874173779908,0.40282485001148965,0.31200000000000006,0.07,-1.6,lv0(a=5),2.1438329219818115
29,320.7397210889879,95.52894669919398,0.4021265201523336,0.316,0.0725,-1.6,lv0(a=5),2.141770839691162
30,451.093462637512,118.76324366088902,0.40143627937957604,0.32,0.075,-1.6,lv0(a=5),2.025804042816162
31,347.60542749325253,120.09243398376104,0.4008484402450887,0.324,0.0775,-1.6,lv0(a=5),2.2307562828063965
32,353.8547270676028,78.75054936259609,0.40033795006255474,0.328,0.08,-1.6,lv0(a=5),1.8708469867706299
33,361.6806440141939,126.15990990633209,0.3997552324014286,0.332,0.0825,-1.6,lv0(a=5),1.8680119514465332
