gen,best,mean,sigma,gravity,phase,elapsed_s
0,-295.6465923588044,-392.4194113109087,0.4903070217957144,-2.0,warmup,1.4552297592163086
1,-332.0471296824981,-376.3179460143184,0.4819410521060416,-2.0,warmup,0.14710283279418945
2,-303.1662644211982,-370.06141100430943,0.4744012097197028,-2.0,warmup,0.17022204399108887
3,-308.0047547390868,-373.90973621487393,0.4673760897686578,-2.0,warmup,0.14129900932312012
4,-290.51942641464154,-356.4219723114028,0.4609072994977595,-2.0,warmup,0.15132403373718262
5,-301.8555650535291,-356.85859588845034,0.4550901890856292,-2.0,warmup,0.12829208374023438
6,-266.98413098874977,-332.3885795068848,0.4497869292318196,-2.0,warmup,0.18427610397338867
7,-276.12918271934785,-336.7127941631858,0.4448404316967301,-2.0,warmup,0.169450044631958
8,-290.4844202745755,-335.48663575839953,0.44027196799028057,-2.0,warmup,0.1962120532989502
9,-198.12439565544344,-320.67005605828575,0.4361741045837412,-2.0,warmup,0.2396688461303711
10,-245.55120577570938,-321.1733027023909,0.4324155959719767,-2.0,warmup,0.21233701705932617
11,-194.8043458076318,-310.3736620724321,0.4290762632014054,-2.0,warmup,0.2652769088745117
12,-273.8931872242083,-322.42807615897914,0.4261530584735381,-2.0,warmup,0.28343987464904785
13,-271.950363260859,-318.8177185502301,0.4234221412594099,-2.0,warmup,0.23189401626586914
14,-263.4967124756682,-308.9727870920674,0.42101917608037487,-2.0,warmup,0.24751615524291992
15,-264.54275800563875,-321.3082749636067,0.41878027598822914,-2.0,warmup,0.27954816818237305
16,-250.20251722288072,-318.6877240652616,0.4165160864506558,-2.0,warmup,0.246840238571167
17,-224.71808390453884,-308.6397148223952,0.41448927002539676,-2.0,warmup,0.31176185607910156
18,-108.556461030151,-307.7797482484351,0.41277821816599014,-2.0,warmup,0.36069679260253906
19,-207.4354423779303,-293.2857460574398,0.4112620188073641,-2.0,warmup,0.433243989944458
20,91.85299073009094,-266.9392012839685,0.4098183675985143,-2.0,warmup,0.5181221961975098
21,-178.1983745884834,-295.35070583410044,0.40847729297682867,-2.0,warmup,0.4471709728240967
22,-31.073775595393442,-294.016163961964,0.40716113460234815,-2.0,warmup,0.506202220916748
23,-165.17589493793318,-298.26552749829534,0.40591949062596455,-2.0,warmup,0.47954893112182617
24,12.198441496271016,-272.70792894116704,0.4046521346462766,-2.0,warmup,0.5540261268615723
25,61.42231194683469,-269.8090016122957,0.4036167958280459,-2.0,warmup,0.6441521644592285
26,53.989291728572205,-264.90083605443317,0.40289363008752815,-2.0,warmup,0.5563681125640869
27,110.88626959002234,-242.61617217660105,0.4020260802367335,-2.0,warmup,0.6407709121704102
28,101.81271328151007,-224.75096931734532,0.40127591362511217,-2.0,warmup,0.9233188629150391
29,204.23143183208256,-167.15291760256557,0.4005661869618574,-2.0,warmup,0.9421172142028809
30,367.133923385654,-143.0477870485609,0.4000948848459717,-2.0,warmup,1.056028127670288
31,155.0860526869584,-169.06721479017426,0.3997069827035628,-2.0,warmup,1.049314022064209
32,175.4546522457775,-96.71818502367063,0.3992091998264649,-2.0,warmup,1.2039668560028076
33,172.0722207941177,-32.736038702538906,0.3987947215074248,-2.0,warmup,1.3580846786499023
34,233.93408674464763,-44.697213322683524,0.3984711830465936,-2.0,warmup,1.3443331718444824
35,295.64404811219157,-3.6289792374127616,0.3977427238587518,-2.0,warmup,1.3119158744812012
36,292.63773184033454,-33.9394920371925,0.3970698074090118,-2.0,warmup,1.6851458549499512
37,289.1037047163477,-64.63815653160853,0.3964954194731507,-2.0,warmup,1.5353937149047852
38,576.2353540353882,-37.841937773436186,0.3958024133966733,-2.0,warmup,1.5125072002410889
