gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-67.53121830359105,-76.72085154836341,0.49571617181429517,0.2,0.0,-1.6,warmup,1.3300819396972656
1,-63.32116307899211,-73.67586928216076,0.49179250342837694,0.20400000000000001,0.0025,-1.6,warmup,0.08195877075195312
2,-65.86589329583258,-73.52458187277769,0.4881119254582825,0.20800000000000002,0.005,-1.6,warmup,0.038800954818725586
3,-62.62298326035346,-72.85338297078874,0.4846492451655997,0.21200000000000002,0.0075,-2.62625,ramp 12%,0.04945492744445801
4,-65.86000094775385,-79.2233744153559,0.4813414729596705,0.21600000000000003,0.01,-3.6525000000000003,ramp 25%,0.05282306671142578
5,-63.996945478283685,-77.91339313852943,0.4782305972944412,0.22000000000000003,0.0125,-4.678750000000001,ramp 37%,0.040924072265625
6,-59.66716460473621,-74.28384051064867,0.4752445999302284,0.224,0.015,-5.705,ramp 50%,0.044351816177368164
7,-62.72295136914519,-83.57863143919977,0.4723260119147224,0.228,0.0175,-6.731250000000001,ramp 62%,0.05105781555175781
8,-61.37301154449515,-70.29152159163414,0.46952293511537996,0.232,0.02,-7.7575,ramp 75%,0.04604697227478027
9,-62.34648412386179,-80.01353061413423,0.46684497052289187,0.23600000000000002,0.0225,-8.783750000000001,ramp 87%,0.05346179008483887
