gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-67.62754153182303,-77.02410822938864,0.49575715427660155,0.2,0.0,-9.81,multi(3),1.405487060546875
1,-62.107987173571665,-74.4520896797585,0.49183997446851974,0.20400000000000001,0.0025,-9.81,multi(3),0.17461681365966797
2,-58.19247587467517,-75.81687805337407,0.4881326283164495,0.20800000000000002,0.005,-9.81,multi(3),0.14440393447875977
3,-41.68667964402185,-69.55174454797911,0.4846444873617813,0.21200000000000002,0.0075,-9.81,multi(3),0.13157296180725098
4,-24.087961408596207,-68.58828156258964,0.4812885805279343,0.21600000000000003,0.01,-9.81,multi(3),0.15000391006469727
5,-46.976086517976306,-74.00923905552877,0.47808719945667594,0.22000000000000003,0.0125,-9.81,multi(3),0.1375269889831543
6,-67.83327966018302,-75.96311387597584,0.47500905373520697,0.224,0.015,-9.81,multi(3),0.1042633056640625
7,-46.755150653347314,-70.44306562351758,0.472063462224261,0.228,0.0175,-9.81,multi(3),0.1667168140411377
8,-48.06406199495326,-70.86611581390318,0.46921546851527624,0.232,0.02,-9.81,multi(3),0.14507102966308594
9,-48.04073312937502,-72.67974760237641,0.46645321634101883,0.23600000000000002,0.0225,-9.81,multi(3),0.13798904418945312
