gen,best,mean,sigma,gravity,phase,elapsed_s
0,-332.04169443451127,-388.2847709232134,0.4903546526985761,-8.178229876071274,random,1.4616031646728516
1,-302.1424847636686,-380.32257996756226,0.481968465130062,-11.862890243994945,random,0.10287904739379883
2,-329.3627400450415,-384.98329032559616,0.474717029594392,-8.79384942618917,random,0.1170339584350586
3,-277.2066571255188,-356.5439399129392,0.4682879896502963,-11.32758298630629,random,0.1662588119506836
4,-288.18174688694876,-355.90296292694546,0.46238500657425147,-10.97912057982307,random,0.19951200485229492
5,-278.86978238511296,-351.99377979491044,0.45696849719960575,-9.248731520685862,random,0.1571979522705078
6,-296.5896762670787,-355.51995114381106,0.4520478975527056,-6.9687005186916835,random,0.17633056640625
7,-241.4490561782956,-336.23403898955127,0.4475094470235742,-8.472189944023073,random,0.18674588203430176
8,-241.70450606704398,-327.3685858672743,0.4432796332539587,-10.727884160446186,random,0.22029995918273926
9,-38.329631555077604,-303.3625473034229,0.43934718892445657,-8.248524787800374,random,0.2881479263305664
10,-225.5712992217043,-322.365080577648,0.43559058759275116,-10.690652980617113,random,0.2968151569366455
11,-115.77299234729257,-299.3046614401293,0.43217703177326683,-8.001537666062104,random,0.3365659713745117
12,-167.48288316052674,-316.5421265197122,0.42909888667922436,-8.960544070516494,random,0.383209228515625
13,42.11150267902361,-322.7103266090776,0.4261901273852915,-6.057369286272925,random,0.425537109375
14,17.59395673680262,-287.89462752378097,0.42357959715381716,-6.447878046427724,random,0.3960859775543213
15,214.06627761095413,-256.76483621559873,0.42119197618400167,-11.46193904971323,random,0.4290008544921875
16,11.105725116469992,-289.25350077012115,0.4189767924635659,-8.00835980790226,random,0.412233829498291
17,8.332926711120829,-258.38514189115966,0.4169922151178207,-10.728605716548406,random,0.46509575843811035
18,105.93631668163981,-210.84244486733286,0.41503352606587374,-9.401887841734414,random,0.5698239803314209
19,58.08810207674106,-196.41835464805567,0.4131932504950304,-9.958622738739972,random,0.5011451244354248
20,138.99237091353183,-115.12180492537573,0.4114137337424059,-9.962028935350126,random,0.6117420196533203
21,30.406940864180168,-189.79231637774996,0.4098152681949653,-10.424007691328338,random,0.5702400207519531
22,53.98454441827116,-130.9198927462202,0.4082474125120809,-8.125616541608066,random,0.7369561195373535
23,170.50536850830122,-94.61791330722555,0.4067202119009141,-11.632081387761348,random,0.6188991069793701
24,188.21929430294463,-142.74470338672634,0.40544331877338435,-7.228939618727815,random,0.7942221164703369
25,141.06100065001075,-118.39840549398127,0.4042464068387965,-8.380054291474547,random,0.771996021270752
26,207.34029325022902,-83.21836431241971,0.4031021274344247,-8.72114605323802,random,0.7927238941192627
27,174.65451532998034,-130.6339309344903,0.40209135422131637,-6.925179915805577,random,0.8969583511352539
28,162.83777319851467,-90.57094190055615,0.40122176508452206,-9.108999023380967,random,0.7921967506408691
29,177.47477741724245,-128.58390343196493,0.4003487303274335,-9.547756204671611,random,0.760145902633667
30,202.58573887075727,-100.8626450531286,0.3996699504050995,-8.91078706628453,random,0.7949397563934326
31,228.01881524953743,-9.052086507784418,0.39924794979728456,-9.843442743280843,random,0.8132679462432861
32,283.3927583918744,-8.06037377361707,0.3988282941467,-6.242455032078189,random,1.032080888748169
33,203.52269162996447,6.277129554763969,0.3984519724414741,-11.448940381249253,random,0.8772218227386475
34,219.60267102079115,-12.00698335013303,0.3982181684322654,-11.71941998415733,random,0.8177931308746338
35,222.26940862227255,-162.75599692532808,0.39801572893315307,-9.225443549650896,random,0.8001890182495117
36,256.6628539475457,57.80663878332017,0.3978062372228786,-8.812507518273282,random,0.9989180564880371
37,196.5982604086789,-12.837328027442387,0.3977595004448398,-11.754623389741848,random,0.7304592132568359
38,311.7513961147162,66.15586099667578,0.39796133364832126,-9.431062512854737,random,0.9947457313537598
39,275.20013329680665,-33.3476386351845,0.3982289193076823,-6.80011552268823,random,1.0909397602081299
40,206.81936065970163,-36.65254843815788,0.3983360050571594,-9.628137918072552,random,0.8276779651641846
41,304.7472298304943,-24.34105982054486,0.39850429696742584,-6.5484782433544355,random,1.0463380813598633
42,288.65564709852885,-24.411783967718083,0.3987309775946057,-9.843242439920717,random,0.9585039615631104
43,231.4178766877043,21.850225560685423,0.39899746954114257,-10.862431249299492,random,0.9523439407348633
44,230.03939502842766,32.513091566016776,0.3991826965615976,-8.043167738042513,random,1.0696690082550049
45,257.69980508788905,5.295524635504265,0.3990451488404772,-10.933798067052601,random,0.9882559776306152
46,240.32981437467757,-46.41024566949591,0.398907493871658,-9.54989027233987,random,0.9252548217773438
47,242.2568378502233,-4.520032203510981,0.39886824883254235,-6.164933072605619,random,1.006080150604248
48,281.3429377544409,40.455139363027286,0.3989060346506635,-7.816357807392195,random,0.9788167476654053
49,260.61215818001597,64.62196285159051,0.3989674892626861,-9.452689620333848,random,0.9568572044372559
