gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-65.52207239587096,-76.91072344222007,0.49575715427660155,0.2,0.0,-8.963815952709634,random,1.3447978496551514
1,-63.305496543117094,-74.85651078489398,0.4918374822118274,0.20400000000000001,0.0025,-9.677767959135236,random,0.06283903121948242
2,-53.06204950743274,-75.18824553987713,0.48814068112338166,0.20800000000000002,0.005,-9.58856541934092,random,0.050562143325805664
3,-37.10894618510903,-65.83458683276346,0.48469838119398784,0.21200000000000002,0.0075,-6.070679134659181,random,0.05064511299133301
4,-34.92540680883005,-67.15675518663446,0.4814014007613913,0.21600000000000003,0.01,-11.875709896662645,random,0.05076718330383301
5,-39.10380663803702,-72.94352245280149,0.47825745051888174,0.22000000000000003,0.0125,-8.567594212282524,random,0.04226994514465332
6,-38.2871585519131,-73.04068033179007,0.47521488467127865,0.224,0.015,-8.471047770587727,random,0.04355621337890625
7,-56.1271207936963,-72.92121490819153,0.47229705419973084,0.228,0.0175,-8.296794917419241,random,0.047637939453125
8,-64.85573385218267,-75.04992250738036,0.46945844352957117,0.232,0.02,-7.529331757952816,random,0.05098080635070801
9,-61.2885334520414,-74.44889371888583,0.46667510901048903,0.23600000000000002,0.0225,-11.005569727939353,random,0.045131683349609375
