gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-60.19957874901653,-76.49699941015987,0.49042593828732034,0.2,0.0,-1.6,moon,1.5619609355926514
1,-46.471566508552435,-72.9580872621635,0.48200292471212586,0.20400000000000001,0.0025,-1.6,moon,0.17354798316955566
2,-54.51345780087896,-73.49215669697972,0.47457662302097176,0.20800000000000002,0.005,-1.6,moon,0.1856369972229004
3,-49.26321776810579,-72.0730395310151,0.46811028595059734,0.21200000000000002,0.0075,-1.6,moon,0.1699211597442627
4,-52.58159754133904,-72.49461464242202,0.4624031667150065,0.21600000000000003,0.01,-1.6,moon,0.18732905387878418
5,-50.926594079486925,-70.4465467349579,0.45692452625993674,0.22000000000000003,0.0125,-1.6,moon,0.19754791259765625
6,-53.9020700707145,-72.33833182870073,0.4519518116677294,0.224,0.015,-1.6,moon,0.23849987983703613
7,-50.787443584210905,-71.39776357559937,0.44741332121760063,0.228,0.0175,-1.6,moon,0.21024107933044434
8,-48.58176414007479,-71.9888186883919,0.4432342773102456,0.232,0.02,-1.6,moon,0.18858075141906738
9,-46.94402165401818,-69.73140251405337,0.4393753500299374,0.23600000000000002,0.0225,-1.6,moon,0.25930023193359375
10,-47.178625758524134,-70.22729769065002,0.4357432643610669,0.24000000000000002,0.025,-1.6,moon,0.28688693046569824
11,-50.931508574161626,-68.66891972158541,0.4324430098478644,0.24400000000000002,0.0275,-1.6,moon,0.342987060546875
12,-48.86825306081435,-74.22933509922515,0.42949485647345076,0.248,0.03,-1.6,moon,0.2776651382446289
13,-30.326974480998828,-74.32495120801488,0.42678528159461737,0.252,0.0325,-1.6,moon,0.2519040107727051
14,-34.77727992470341,-67.51228935066017,0.42419596613568245,0.256,0.035,-1.6,moon,0.32570505142211914
15,-43.290813937409006,-73.23210922724554,0.4218060563727518,0.26,0.0375,-1.6,moon,0.31086182594299316
16,-6.074455222034422,-66.792932086146,0.41959811125128094,0.264,0.04,-1.6,moon,0.3934049606323242
17,8.597958960105798,-67.95010240053082,0.4174994951579776,0.268,0.0425,-1.6,moon,0.37912487983703613
18,5.505911719342504,-69.80944942208302,0.4155274086203836,0.272,0.045,-1.6,moon,0.46708202362060547
19,312.9092221330095,-51.45389919322446,0.4136249944795929,0.276,0.0475,-1.6,moon,0.4763350486755371
20,43.49813591019514,-63.16001795868283,0.4120493601668656,0.28,0.05,-1.6,moon,0.4097878932952881
21,151.7025188688009,-57.37624334077715,0.41053348481878765,0.28400000000000003,0.0525,-1.6,moon,0.5199270248413086
22,145.64236531934546,-38.47862514044054,0.40917540732522784,0.28800000000000003,0.055,-1.6,moon,0.7890679836273193
23,284.4748352827004,4.081696146972779,0.40804042867721807,0.29200000000000004,0.0575,-1.6,moon,1.0123889446258545
24,294.8494423203702,-13.903839552117034,0.40695396277505497,0.29600000000000004,0.06,-1.6,moon,0.9131958484649658
25,225.31498649946369,-22.23914318769436,0.4058998737631181,0.30000000000000004,0.0625,-1.6,moon,1.016145944595337
26,291.9673413244162,44.166146453833576,0.4049243650159982,0.30400000000000005,0.065,-1.6,moon,1.0584149360656738
27,322.4106560272976,43.840794405290886,0.4041484120938118,0.30800000000000005,0.0675,-1.6,moon,1.2367119789123535
28,300.3572951202531,59.51832782479585,0.4034395534485089,0.31200000000000006,0.07,-1.6,moon,1.2675771713256836
29,327.87606218119294,81.3383392671665,0.40298971799024963,0.316,0.0725,-1.6,moon,1.2332472801208496
30,372.60884609385874,83.71735578812294,0.40289736398995946,0.32,0.075,-1.6,moon,1.3116209506988525
31,361.85274743464606,103.356546279736,0.4026676525668676,0.324,0.0775,-1.6,moon,1.3981192111968994
32,470.8185105526681,173.74561125421047,0.4023875449877469,0.328,0.08,-1.6,moon,1.5521190166473389
33,356.3880889005548,118.20430511829996,0.40217863513995233,0.332,0.0825,-1.6,moon,1.5232148170471191
34,445.18432700317754,148.6828334813415,0.4019539702262415,0.336,0.085,-1.6,moon,1.7458579540252686
35,317.280329975493,86.10649617324302,0.4017828394850458,0.33999999999999997,0.0875,-1.6,moon,1.6439759731292725
36,377.0926048986477,147.63856709012754,0.4016250702843965,0.344,0.09,-1.6,moon,1.7455291748046875
37,385.09980336313214,102.40820706273087,0.40148355028107985,0.348,0.0925,-1.6,moon,1.6982431411743164
38,435.17016214219046,149.06928205731703,0.40126899296417395,0.35200000000000004,0.095,-1.6,moon,2.156892776489258
39,401.57087248341696,102.12509809983844,0.4011249722390149,0.35600000000000004,0.0975,-1.6,moon,2.098191022872925
40,433.6895992985008,118.8349894671054,0.4011179174285476,0.36000000000000004,0.1,-1.6,moon,1.82743501663208
41,331.20803348509054,135.5583818184939,0.4011478272115891,0.364,0.1025,-1.6,moon,1.766550064086914
42,370.73114313382763,155.9348353593049,0.40128522272114514,0.368,0.105,-1.6,moon,1.7779641151428223
43,384.63877429697453,114.4854839415747,0.40158083234818637,0.372,0.1075,-1.6,moon,1.6560239791870117
44,413.68144971304656,181.29405789167453,0.4020125659800115,0.376,0.11,-1.6,moon,1.7662489414215088
45,390.0574820075755,172.28465856761522,0.4023470777648969,0.38,0.1125,-1.6,moon,1.8799898624420166
46,432.69073157995507,142.09223302820888,0.4026272615421176,0.384,0.115,-1.6,moon,2.1364681720733643
47,298.3358647092775,115.36742981047146,0.4030801291511262,0.388,0.1175,-1.6,moon,1.981330156326294
48,320.43058094402187,96.15583692464816,0.40367196355139956,0.392,0.12,-1.6,moon,1.895705223083496
49,380.3139216814895,78.38553524315535,0.4043923411546895,0.396,0.1225,-1.6,moon,1.8340380191802979
50,409.3482802449568,149.3797582564895,0.4052244015925877,0.4,0.125,-1.6,moon,2.1957569122314453
51,393.1035113940317,158.40983031879688,0.40591378539676465,0.404,0.1275,-1.6,moon,1.95369291305542
52,366.6864933179781,207.12484667818563,0.40645456133382146,0.40800000000000003,0.13,-1.6,moon,2.2815968990325928
53,389.17434119412974,167.66054229739433,0.40704386914039226,0.41200000000000003,0.1325,-1.6,moon,2.042489767074585
54,463.30516856710256,184.9459688370586,0.40763705041121845,0.41600000000000004,0.135,-1.6,moon,2.2035677433013916
55,557.1265580855576,219.1251718138814,0.40812892475336787,0.42000000000000004,0.1375,-1.6,moon,2.2288739681243896
56,440.1178079090799,195.13401056320888,0.4086555641225634,0.42400000000000004,0.14,-1.6,moon,2.235598087310791
57,502.58674192306927,249.10037489371507,0.4092630587814001,0.428,0.1425,-1.6,moon,2.090056896209717
58,575.474695626507,207.3589113777178,0.40976635066984857,0.432,0.145,-1.6,moon,1.945082187652588
59,495.7343448438152,228.1649071385792,0.4102344984414895,0.436,0.1475,-1.6,moon,2.3616960048675537
60,602.5223794091928,199.53927572482442,0.41075547446802263,0.44,0.15,-1.6,moon,2.173095941543579
61,804.4775157438061,207.46949958163492,0.41129942764118,0.444,0.1525,-1.6,moon,2.0521442890167236
62,643.136382076976,288.3075450773591,0.41178922651549493,0.448,0.155,-1.6,moon,2.1811037063598633
