gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-60.29723577352011,-76.12077305883642,0.49048297789585144,0.2,0.0,-1.6,lv0(a=0),1.6660258769989014
1,-44.92090550796513,-72.39489174242121,0.4823136017682204,0.20400000000000001,0.0025,-1.6,lv0(a=1),0.20327019691467285
2,-55.35099572469516,-72.50713063052908,0.47506380770484286,0.20800000000000002,0.005,-1.6,lv0(a=2),0.22049999237060547
3,-54.9581657643125,-67.7090274001765,0.4686546086022913,0.21200000000000002,0.0075,-1.6,lv0(a=3),0.283005952835083
4,-50.26095169269289,-64.09476263430943,0.4629399755479704,0.21600000000000003,0.01,-1.6,lv0(a=4),0.2516748905181885
5,-50.72324161445338,-64.90603346635092,0.45780088304007505,0.22000000000000003,0.0125,-1.6,lv0(a=5),0.26997923851013184
6,-52.49406077149123,-62.31967240141527,0.45298105131252553,0.224,0.015,-1.6,lv0(a=5),0.32567787170410156
7,-49.06228550083302,-63.72785689345644,0.44864675529402526,0.228,0.0175,-1.6,lv0(a=5),0.29384899139404297
8,-37.1098338474095,-61.15031241604733,0.4446787784114977,0.232,0.02,-1.6,lv0(a=5),0.3073768615722656
9,-41.03964890291287,-59.25358052473973,0.44101879444867575,0.23600000000000002,0.0225,-1.6,lv0(a=5),0.3910048007965088
10,-34.8155807716687,-60.81045077117733,0.437664311154606,0.24000000000000002,0.025,-1.6,lv0(a=5),0.40465879440307617
11,-44.303807050645936,-60.160077425568055,0.4345719106166307,0.24400000000000002,0.0275,-1.6,lv0(a=5),0.40164780616760254
12,-39.78277152705272,-58.29654717560156,0.4318668236764205,0.248,0.03,-1.6,lv0(a=5),0.4323761463165283
13,-36.30305921979136,-60.05341697396527,0.4293823707083681,0.252,0.0325,-1.6,lv0(a=5),0.4053480625152588
14,-25.760442403050575,-57.37708281847864,0.4269998638934111,0.256,0.035,-1.6,lv0(a=5),0.4672079086303711
15,-22.53960235692087,-58.31893453204625,0.42486363020790435,0.26,0.0375,-1.6,lv0(a=5),0.5337061882019043
16,-28.859500869667333,-57.70828826966292,0.4227935497357596,0.264,0.04,-1.6,lv0(a=5),0.544694185256958
17,9.135244244826062,-53.17205503229077,0.42099793288305665,0.268,0.0425,-1.6,lv0(a=5),0.5972709655761719
18,51.80846931904694,-43.28904156606478,0.41924579393288,0.272,0.045,-1.6,lv0(a=5),0.8461389541625977
19,208.5101313909148,-34.28939928586174,0.4173965147846025,0.276,0.0475,-1.6,lv0(a=5),0.7801001071929932
20,217.01549820676155,-8.877451038669836,0.41569698167769603,0.28,0.05,-1.6,lv0(a=5),0.9300479888916016
21,203.8435182128561,1.8274691186607157,0.4141513768407492,0.28400000000000003,0.0525,-1.6,lv0(a=5),1.1315970420837402
22,232.60387682659038,24.825134133828094,0.4125860571334404,0.28800000000000003,0.055,-1.6,lv0(a=5),1.130439281463623
23,252.68793348829854,33.96190209835622,0.4111939864005188,0.29200000000000004,0.0575,-1.6,lv0(a=5),1.3441259860992432
24,252.96083065650177,43.25909424217904,0.4097289530263071,0.29600000000000004,0.06,-1.6,lv0(a=5),1.4168989658355713
25,259.01193371255584,50.66525370762165,0.4083854287839349,0.30000000000000004,0.0625,-1.6,lv0(a=5),1.4254848957061768
26,264.0311219080048,24.31593344032052,0.4069726886368986,0.30400000000000005,0.065,-1.6,lv0(a=5),1.3396470546722412
27,262.50133680331,127.40764122469673,0.4055545440289666,0.30800000000000005,0.0675,-1.6,lv0(a=5),1.5837838649749756
28,243.37184528383662,116.43035565028246,0.4041509654643146,0.31200000000000006,0.07,-1.6,lv0(a=5),1.7010140419006348
29,246.02651747526855,145.36917743253036,0.40307529349402654,0.316,0.0725,-1.6,lv0(a=5),1.7724039554595947
30,308.28363876915927,100.1605549942816,0.4021681933832092,0.32,0.075,-1.6,lv0(a=5),1.9892468452453613
31,294.8905236754479,117.84708368542204,0.40130620816350077,0.324,0.0775,-1.6,lv0(a=5),2.073356866836548
32,313.4640245714326,155.72637265138056,0.40051350272930014,0.328,0.08,-1.6,lv0(a=5),2.3488550186157227
33,302.1887987204479,111.15075820348234,0.39962136192909054,0.332,0.0825,-1.6,lv0(a=5),2.389348030090332
34,284.3520989496071,136.64563956052083,0.39874321325416223,0.336,0.085,-1.6,lv0(a=5),2.0899410247802734
35,295.3957701052175,190.77493250613713,0.3980485841482023,0.33999999999999997,0.0875,-1.6,lv0(a=5),2.510617971420288
36,304.7415122814937,133.11351986317828,0.3975206159530885,0.344,0.09,-1.6,lv0(a=5),2.55116605758667
37,323.99467347262447,152.08093300649642,0.39707118110167144,0.348,0.0925,-1.6,lv0(a=5),2.2747011184692383
38,306.6024710258421,156.34808408891467,0.3967421423322939,0.35200000000000004,0.095,-1.6,lv0(a=5),2.695270299911499
39,277.2638737707601,100.57605526906279,0.39659331751005844,0.35600000000000004,0.0975,-1.6,lv0(a=5),2.408506155014038
40,309.33556076684926,190.41480023336698,0.39646168088138445,0.36000000000000004,0.1,-1.6,lv0(a=5),2.6865811347961426
41,294.1542044325167,164.28668482114958,0.39625403608907933,0.364,0.1025,-1.6,lv0(a=5),2.459667921066284
42,293.9246196160689,174.7268629099057,0.3960430713413523,0.368,0.105,-1.6,lv0(a=5),2.6976048946380615
43,318.61849147840303,202.67266725073083,0.3957767049112067,0.372,0.1075,-1.6,lv0(a=5),2.9133808612823486
44,319.8221669214735,191.09530663201735,0.39561069798726445,0.376,0.11,-1.6,lv0(a=5),3.2530980110168457
45,332.51136470777743,214.07601187851895,0.39545460408878225,0.38,0.1125,-1.6,lv0(a=5),2.982217788696289
46,325.3505541748788,177.43819102394826,0.3952653300272739,0.384,0.115,-1.6,lv0(a=5),2.789710760116577
47,322.5025976264005,168.85052205217448,0.39517472238716317,0.388,0.1175,-1.6,lv0(a=5),2.959800958633423
48,297.9196784935487,173.61822592894882,0.3951144642908337,0.392,0.12,-1.6,lv0(a=5),2.9054179191589355
49,307.15878215297766,196.00188055727602,0.3950281339811901,0.396,0.1225,-1.6,lv0(a=5),3.073931932449341
50,303.48607201807454,203.1980754284479,0.39502086287990124,0.4,0.125,-1.6,lv0(a=5),3.089132785797119
51,312.187464606472,198.3599186671946,0.39482848629079503,0.404,0.1275,-1.6,lv0(a=5),2.999016046524048
52,302.1221606794891,221.23445841175007,0.3945252788575817,0.40800000000000003,0.13,-1.6,lv0(a=5),2.954852819442749
53,298.2191742607112,170.1216558109865,0.39432125841777527,0.41200000000000003,0.1325,-1.6,lv0(a=5),2.711548089981079
54,308.8227574014177,193.93165855578727,0.3942277169183435,0.41600000000000004,0.135,-1.6,lv0(a=5),2.8434219360351562
55,298.96908506701726,245.59623717687336,0.39412756681298283,0.42000000000000004,0.1375,-1.6,lv0(a=5),2.918972969055176
