gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-376.6850082504275,-0.13065949632498422,1.0,0.13065949632498422,0.0
10,-332.6844463476574,-0.1253661171983164,1.0,0.1253661171983164,0.0
20,-338.88970711889453,-0.20112108166404355,1.0,0.2011604476774549,0.00012868774106198608
30,-73.69747908322951,0.5644954006358054,1.0,0.20854441517559583,0.4589402430673141
40,-338.3555505391363,-0.3290522426098569,1.0,0.33254186085303034,0.004668857995120292
50,-56.37691161612336,0.57872505462033,1.0,0.20741589617941397,0.46195062110699237
60,-275.96124996616845,-0.03528159839726114,1.0,0.07071826836933622,0.05473912443986505
70,-225.58245703048857,0.09759697616641698,1.0,0.20202625361559381,0.23121039247542735
80,-37.06426688771529,0.6503572547841106,1.0,0.11628905611042724,0.402113106323241
90,-300.9824586034593,-0.4288331185287565,0.9,0.4593847695802801,0.01489951518379817
100,-111.35296820164676,0.21302505742568897,1.0,0.39495641787961133,0.24364700464617206
110,-392.15479442673984,-0.8661433070349908,1.0,0.8685530533046565,0.0014359972716052481
120,21.738848542322415,0.8996140632287565,1.0,0.02561406120929845,0.5063296607835068
130,12.291190101921394,0.8095103716359933,1.0,0.09225781728864858,0.4287478018822955
140,-363.8648453113527,-0.7223102122296648,1.0,0.8309910169384562,0.0808994946786824
150,-197.6940668753353,-0.14157863394230477,1.0,0.5477898916267353,0.15959216146571353
160,-394.1707350906593,-0.8961502500469647,1.0,0.8992564389825555,0.0017041290986590536
170,-212.9136023866128,-0.15100791384821508,1.0,0.5420211019198022,0.20211417470607373
180,-5.248512316902241,0.5960418785612794,1.0,0.20661096726254913,0.29478326818243517
190,28.567123241907517,0.9581062151736367,1.0,8.370510113356951e-05,0.5567165028038965
200,13.310928426596083,0.9355645384192257,1.0,0.0004946951859290559,0.6309154603026402
210,-394.6224721348024,-0.8939533525512943,1.0,0.8992187696293723,0.00291454161485733
220,-394.70569541011594,-0.8930526620453563,1.0,0.8982994941262641,0.0029520003257987202
230,-394.4046689635289,-0.8951615652493865,1.0,0.8999568907398977,0.0026358052054182217
240,-395.65433722373444,-0.8995627013447424,1.0,0.9049657704615045,0.0029519895314671168
250,-331.66375118100734,-0.7214159578637971,1.0,0.8267499775292159,0.046854911113519034
260,-347.0287121291217,-0.7075854665314988,1.0,0.8101641336541263,0.04090027992212139
270,-401.6352187927058,-0.8969508090781046,1.0,0.899791904892987,0.0016716317181707328
280,-399.7182227661059,-0.9031158077069084,1.0,0.9065019246256357,0.0019342899166478213
290,-399.9845007902955,-0.9075646915083663,1.0,0.9104467229764592,0.0016276643802552576
300,-404.6503005686428,-0.9066677158746381,1.0,0.9102131657826436,0.002087218033447488
310,-397.70298445742475,-0.9075760567539408,1.0,0.911434153221846,0.0021354660921073885
320,-400.5630412915245,-0.9041296301263422,1.0,0.9070290572319688,0.0016661991516791284
330,135.99347641785215,1.0399591783430657,1.0,0.020183981565316644,0.32960428525209806
340,186.63298378469375,0.8291471212357223,0.9,0.12076186207508635,0.18496625316483978
350,685.0061849175598,3.1176692461171656,0.5,0.17762825505214147,0.5789536115834635
360,519.8119083816175,2.7757923333294734,0.8,0.16797921670623717,0.6485458270961786
370,96.55371761406137,1.1679823698374947,1.0,0.37022360487854794,0.5054336724864713
380,426.84788941290316,2.5410962140262243,1.0,0.3096633003120986,0.5995502730631851
390,311.3310457081235,2.120904013204382,1.0,0.004489457335795986,0.7978822562878558
400,1047.1409069032275,5.487881313479556,0.7,0.013587885414507384,1.0091747190759208
410,753.6583632808822,3.94138805352745,0.8,0.15961085232164107,0.7082733055995736
420,977.037461671036,4.483264953568222,0.4,0.021708026923302308,0.6601763724250209
430,1085.1642045488907,5.426407726766261,0.6,0.007221448561900615,0.9273232097758957
440,1339.9712748303957,6.250035721394492,0.2,0.0017609887341891047,0.8534145143858339
450,736.2956231636148,4.502134627733936,1.0,0.002477894306626591,1.2834192640201647
460,737.0882940331398,3.789115504810632,0.9,0.41419656466522714,0.7045924854624033
470,91.95565028442685,1.4571624843965025,1.0,0.48550464463570747,0.6399427402306009
480,858.4115863036844,4.2631780324735455,0.5,0.2763166020707072,0.5852037003943735
490,1722.7018257301183,8.986559749744705,0.4,0.002162486747449944,1.2615837062816142
