gen,best,mean,sigma,penalty_scale,correction_scale,elapsed_s
0,-53.80926097874079,-78.05004020822686,0.49031568552285665,0.2,0.0,1.5520410537719727
1,-47.54165856697417,-72.73178911671428,0.4821263269716125,0.20400000000000001,0.0025,0.17863774299621582
2,-40.561110195707776,-66.95018887358042,0.4749246753708188,0.20800000000000002,0.005,0.19564604759216309
3,-24.624546290632875,-60.3495559134539,0.4686061491098449,0.21200000000000002,0.0075,0.29186105728149414
4,-24.408641233330943,-58.064341109537544,0.46284423787553386,0.21600000000000003,0.01,0.257753849029541
5,28.47407711276667,-51.286852206284344,0.4574352796802584,0.22000000000000003,0.0125,0.2951350212097168
6,130.89669080622176,-39.585536777831734,0.4525732904452533,0.224,0.015,0.3778858184814453
7,146.466313991293,-32.51394474549355,0.4483465365939978,0.228,0.0175,0.391002893447876
8,139.13677846729624,-15.320191520650457,0.4444531622697237,0.232,0.02,0.4167959690093994
9,139.81283727101743,-14.361483598422875,0.44062502819689625,0.23600000000000002,0.0225,0.4417903423309326
10,140.27676954257558,6.9401980999362065,0.4373714043245602,0.24000000000000002,0.025,0.5028228759765625
11,147.31803970511075,53.17892506022518,0.43458878737892914,0.24400000000000002,0.0275,0.5753209590911865
12,144.80488230890023,73.25449023788842,0.43192950686184267,0.248,0.03,0.5597240924835205
13,155.1059583939839,67.04167296503599,0.4295587174137429,0.252,0.0325,0.6052310466766357
14,145.02847422285234,59.311747715897035,0.4271272058660518,0.256,0.035,0.6535978317260742
15,145.8299503225025,53.74433820770967,0.42491620501405525,0.26,0.0375,0.5937910079956055
16,138.7215838903152,65.84387137114784,0.4226789095803648,0.264,0.04,0.6141419410705566
17,145.1501026895943,58.37540162057297,0.4206026339858998,0.268,0.0425,0.5400140285491943
18,148.3106670521577,51.726579719301,0.41863834409390716,0.272,0.045,0.6310479640960693
19,147.09100277576943,85.00037500208603,0.41691411365235087,0.276,0.0475,0.6514260768890381
20,156.51454037990757,75.74338888779135,0.4152675241470684,0.28,0.05,0.6938591003417969
21,150.48927904334724,94.21579216436326,0.41364002212049894,0.28400000000000003,0.0525,0.7337489128112793
22,159.6638380123031,51.05692953267696,0.41203493368865524,0.28800000000000003,0.055,0.755885124206543
23,161.73339462308496,64.77188106727517,0.4105419719845058,0.29200000000000004,0.0575,0.7856497764587402
24,166.96925079628616,31.150687409040266,0.4092680133057492,0.29600000000000004,0.06,0.7462348937988281
25,165.83923724356683,65.94023121522605,0.4079206671662336,0.30000000000000004,0.0625,0.8363699913024902
26,160.16242415847748,48.08890187387508,0.4064967777782973,0.30400000000000005,0.065,0.8500008583068848
27,178.95608856695506,49.067851297865936,0.4050364108863335,0.30800000000000005,0.0675,0.8224382400512695
28,164.76453080711508,86.0003618916284,0.4034512675613533,0.31200000000000006,0.07,0.8246829509735107
29,172.9238724345122,74.91583312150492,0.4022387869603467,0.316,0.0725,0.8680381774902344
30,169.99257003858432,38.29612952863512,0.4010506391132795,0.32,0.075,0.831862211227417
31,169.58077726000965,32.45569550755512,0.3999616468939444,0.324,0.0775,0.8950977325439453
32,183.32683543060648,27.213473455284607,0.3988911946222814,0.328,0.08,0.8657481670379639
33,220.8599526364391,61.708936431206084,0.39798490110178697,0.332,0.0825,0.9360771179199219
34,176.15007361223172,50.83867448128673,0.3971616223734273,0.336,0.085,0.9038901329040527
35,186.5285910200896,47.90769945515294,0.3965059957005162,0.33999999999999997,0.0875,0.9810810089111328
36,208.648137923439,36.182941483826916,0.3958302528509636,0.344,0.09,1.033667802810669
37,185.54613802491906,22.992302500543172,0.3951793817969508,0.348,0.0925,1.0429458618164062
38,205.58358510784515,68.48279109785283,0.39470656703568363,0.35200000000000004,0.095,1.1584739685058594
39,238.15877799214505,70.58925932621327,0.39443236345271193,0.35600000000000004,0.0975,1.117084264755249
40,176.33930591713704,29.658097968804725,0.39408862894784785,0.36000000000000004,0.1,1.154123067855835
41,198.1103976431234,80.45283433612461,0.3937631125856307,0.364,0.1025,1.040771722793579
42,223.71732980873648,71.80171566883226,0.39355322301748064,0.368,0.105,1.1274712085723877
43,252.39234782895255,55.95986982029295,0.39336548765762436,0.372,0.1075,1.222944974899292
44,262.2501559346769,118.85978133414963,0.3931255026962249,0.376,0.11,1.0818660259246826
45,247.38127605181623,68.64492295074561,0.3928028870936986,0.38,0.1125,1.0134108066558838
46,280.6440979551941,121.82698475320967,0.3923888385875212,0.384,0.115,1.0899629592895508
47,278.12157455265805,55.09404900972332,0.39207206802720584,0.388,0.1175,1.2081048488616943
48,267.7878146729699,101.61890967799461,0.39173731578092474,0.392,0.12,1.3643429279327393
49,263.4273811993258,89.74449298865734,0.3914260004029667,0.396,0.1225,1.2562880516052246
50,237.6635900040433,40.361666664551024,0.39114984565770183,0.4,0.125,1.148681879043579
51,282.0810646216654,108.14180568527554,0.39081294606427086,0.404,0.1275,1.1689629554748535
52,253.36547956707318,71.59251991111901,0.3905491132970558,0.40800000000000003,0.13,1.349579095840454
53,279.23480921022633,92.28211450688634,0.3902615402808919,0.41200000000000003,0.1325,1.2131330966949463
54,290.20239850028025,116.30275566116798,0.39009639311176764,0.41600000000000004,0.135,1.2331910133361816
55,287.8480128443859,103.13044761675015,0.38993228603270363,0.42000000000000004,0.1375,1.4792311191558838
56,290.14402911937395,69.49845669354242,0.3898167759002757,0.42400000000000004,0.14,1.1473090648651123
57,254.09627016453032,55.906744274798825,0.3897368995294717,0.428,0.1425,1.2979977130889893
58,273.9940994966349,104.69597859013045,0.38970836653420593,0.432,0.145,1.1460542678833008
59,273.36763075431287,75.02809103003679,0.3896635708024192,0.436,0.1475,1.1468820571899414
60,277.0054001152498,93.01183777767055,0.38965327754569073,0.44,0.15,1.169152021408081
61,286.8695908782351,27.806137184726843,0.3895240096400036,0.444,0.1525,1.1011192798614502
62,266.09272916964875,49.60948879404199,0.3893605023961362,0.448,0.155,1.023320198059082
63,268.1990221248265,64.5448769287027,0.3892282346176584,0.452,0.1575,1.1104378700256348
64,259.905860490787,46.85204835002919,0.3891400773325741,0.456,0.16,1.1130850315093994
65,297.7647716996574,65.47437987424465,0.38900407543312576,0.46,0.1625,1.090381145477295
66,273.98316207188583,42.66437212754043,0.3888978420794247,0.464,0.165,1.2882919311523438
67,289.19786410810934,104.67604500051667,0.3888146964765774,0.468,0.1675,1.2454710006713867
68,291.0974343729672,120.55701087280656,0.3889090265513431,0.47200000000000003,0.17,1.1418461799621582
69,294.28031921841784,125.49559557142827,0.38910576294607563,0.476,0.1725,1.129936933517456
70,337.208543197653,73.72265308388008,0.38920592987703384,0.48,0.175,1.0648629665374756
71,315.61941752341073,43.35601346799225,0.38917485815370617,0.484,0.1775,1.0911829471588135
72,276.3490016540531,56.9372494737526,0.38916583657888953,0.488,0.18,1.18314790725708
73,312.52509741761827,122.53768240784976,0.3890794269426763,0.492,0.1825,1.2902181148529053
74,388.04361308581923,128.349748332287,0.3890019529555871,0.496,0.185,1.173079013824463
75,405.39534943739613,100.72652224601127,0.3889020733126906,0.5,0.1875,1.2470300197601318
