gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-29.08307048204951,-75.21524618549267,0.49036063814358044,0.2,0.0,-1.6,warmup,1.5714631080627441
1,-57.19297925896217,-73.00666603540893,0.4820921051223777,0.20400000000000001,0.0025,-1.6,warmup,0.16121912002563477
2,-58.07529858968578,-69.7487616553175,0.4746977664922731,0.20800000000000002,0.005,-1.6,warmup,0.1757490634918213
3,-58.12435285805833,-67.25094808243513,0.46791251462265393,0.21200000000000002,0.0075,-1.6,warmup,0.20839500427246094
4,-55.23044105622349,-69.36880957668197,0.4616556693016515,0.21600000000000003,0.01,-1.6,warmup,0.19854116439819336
5,-47.38380303870724,-66.22915320406082,0.45592473694315094,0.22000000000000003,0.0125,-1.6,warmup,0.22347521781921387
6,-42.229873262757394,-62.81656912971967,0.4506078210195797,0.224,0.015,-1.6,warmup,0.25495314598083496
7,-47.99062500019682,-65.14257531459933,0.445770978748245,0.228,0.0175,-1.6,warmup,0.25531482696533203
8,-48.28362704455469,-64.34773661673876,0.4412197392160719,0.232,0.02,-1.6,warmup,0.23474621772766113
9,-47.07748258318103,-65.2221472974447,0.43695029796244467,0.23600000000000002,0.0225,-1.6,warmup,0.3011000156402588
10,-42.281516918627595,-63.58774891803809,0.43302757328237135,0.24000000000000002,0.025,-1.6,warmup,0.2979772090911865
11,-46.16391786042013,-64.28252234183205,0.42946606784839886,0.24400000000000002,0.0275,-1.6,warmup,0.32392430305480957
12,-11.22840166563148,-63.98558693789662,0.42610235297941207,0.248,0.03,-1.6,warmup,0.32361483573913574
13,-46.40720184644013,-66.28538076401409,0.4230508859527488,0.252,0.0325,-1.6,warmup,0.36006975173950195
14,-11.314464542670642,-64.71895952693053,0.42031742746498163,0.256,0.035,-1.6,warmup,0.3112602233886719
15,-15.656010374384906,-65.4804761478119,0.4176525636468264,0.26,0.0375,-1.6,warmup,0.3951990604400635
16,-30.137579064585363,-69.19304329368124,0.41509788312106083,0.264,0.04,-1.6,warmup,0.32372593879699707
