gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-60.273200449883745,-77.49888054156327,0.4905595504982547,0.2,0.0,-9.81,multi(3),2.1054329872131348
1,-54.2159790077908,-73.79868423307587,0.4823094532398179,0.20400000000000001,0.0025,-9.81,multi(3),0.7931249141693115
2,-48.48999577162324,-68.58528910182704,0.475099029423313,0.20800000000000002,0.005,-9.81,multi(3),0.6826329231262207
3,-2.220055533241858,-65.79139543120127,0.46856786042624055,0.21200000000000002,0.0075,-9.81,multi(3),0.7439918518066406
4,-37.56282462677879,-64.32929194114584,0.4624809319110736,0.21600000000000003,0.01,-9.81,multi(3),0.7816369533538818
5,-22.814247653135453,-55.91749686482733,0.4569737512254714,0.22000000000000003,0.0125,-9.81,multi(3),0.9787347316741943
6,-22.73335505589787,-53.59307992894814,0.4521256047413257,0.224,0.015,-9.81,multi(3),0.9763810634613037
7,5.353024121727724,-49.905295543352544,0.4477307638778391,0.228,0.0175,-9.81,multi(3),1.0225200653076172
8,-12.278989164692598,-50.04134319552842,0.4436743822755024,0.232,0.02,-9.81,multi(3),1.1477041244506836
9,13.858001144776509,-48.87304672263093,0.43976535088841334,0.23600000000000002,0.0225,-9.81,multi(3),1.3511521816253662
10,11.489615102084038,-45.12164500316055,0.4363394725181534,0.24000000000000002,0.025,-9.81,multi(3),1.2757298946380615
11,117.79233934681282,-35.32470413521679,0.43325584955910534,0.24400000000000002,0.0275,-9.81,multi(3),1.5117788314819336
12,127.42150560072227,-10.565297771842406,0.43054833859368635,0.248,0.03,-9.81,multi(3),1.9805338382720947
13,124.83533279451098,7.568729282149784,0.4280097532980148,0.252,0.0325,-9.81,multi(3),2.119007110595703
14,125.47265329069285,14.694423932501769,0.42575989350570426,0.256,0.035,-9.81,multi(3),2.2516400814056396
15,124.9742839917333,56.3181579268692,0.4237341972236158,0.26,0.0375,-9.81,multi(3),2.5404858589172363
16,143.10047968225433,53.02434054341457,0.42199369291766126,0.264,0.04,-9.81,multi(3),2.588651180267334
17,144.5761417367783,60.19872266866628,0.4204249408964766,0.268,0.0425,-9.81,multi(3),2.536409854888916
18,134.69067715480833,66.01665711234887,0.4190030520999703,0.272,0.045,-9.81,multi(3),2.886395215988159
19,151.2101041944186,74.03983229441509,0.41765854454288925,0.276,0.0475,-9.81,multi(3),3.0610601902008057
20,149.7678466242702,80.32488644252615,0.4164353645488576,0.28,0.05,-9.81,multi(3),3.1624999046325684
21,160.17215918631211,83.30044583841978,0.415372502870473,0.28400000000000003,0.0525,-9.81,multi(3),3.306796073913574
22,163.64975439347728,89.37092064654307,0.41428202980074713,0.28800000000000003,0.055,-9.81,multi(3),3.6045358180999756
23,164.22755497800878,94.38861480458188,0.4132578685823974,0.29200000000000004,0.0575,-9.81,multi(3),3.1907830238342285
