gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-52.403774259859254,-75.6940465892839,0.4904799766742623,0.2,0.0,-6.778504776179492,random,1.503330945968628
1,-20.672046052721488,-69.4612876630253,0.4823703929073349,0.20400000000000001,0.0025,-10.490314690453655,random,0.21680498123168945
2,-9.82364257704218,-70.83856289437536,0.47519076669335775,0.20800000000000002,0.005,-7.59084215938738,random,0.27138710021972656
3,27.351825959504442,-61.54038441623868,0.46893232633537313,0.21200000000000002,0.0075,-6.546893605743812,random,0.27442312240600586
4,-12.070163172264337,-57.54351753691692,0.46312993743951464,0.21600000000000003,0.01,-11.569722406670465,random,0.2593841552734375
5,139.4891721872003,-42.01595403528604,0.4578603510655291,0.22000000000000003,0.0125,-10.986829713708476,random,0.317615270614624
6,27.131534943760244,-45.7774688695821,0.45308260894486463,0.224,0.015,-6.058201579506212,random,0.36594724655151367
7,60.99587823519273,-51.20822617415632,0.448790724550539,0.228,0.0175,-6.459148070168254,random,0.34778761863708496
8,125.03208989614988,-20.660867630860785,0.44479893713735136,0.232,0.02,-9.388315932911143,random,0.382000207901001
9,141.11836841555365,-14.215701342944651,0.4410740286248991,0.23600000000000002,0.0225,-10.028504902494726,random,0.42415308952331543
10,138.08588228530303,7.0126631294621715,0.4373474629389463,0.24000000000000002,0.025,-11.713782512476369,random,0.42508888244628906
11,171.16315364880498,2.0453198337064653,0.4340678859326401,0.24400000000000002,0.0275,-8.077020913281899,random,0.43688035011291504
12,151.26176319492137,68.24416089934134,0.43096548218029146,0.248,0.03,-10.222359478683565,random,0.599510669708252
13,148.20451430065103,12.339526011873161,0.42798105500981265,0.252,0.0325,-8.261642809406744,random,0.45710325241088867
14,153.45197275574458,43.14853193035192,0.4251945150284462,0.256,0.035,-9.156770845676764,random,0.5133109092712402
15,155.26663420502723,74.39636336473282,0.4225624310314863,0.26,0.0375,-8.641992290929382,random,0.620689868927002
16,145.59897229761688,70.7343758186787,0.4200950496620156,0.264,0.04,-11.870481927298089,random,0.529393196105957
17,164.0603472010621,87.24917288860891,0.4179017675330814,0.268,0.0425,-7.048068465694498,random,0.7560908794403076
18,152.73901206161233,77.06232378160942,0.41597753851257574,0.272,0.045,-11.696867631954094,random,0.5590200424194336
19,169.59660097466676,59.168731002518356,0.4141328205277999,0.276,0.0475,-7.675068610066837,random,0.7591278553009033
20,181.76480461969837,50.95461571077952,0.4124558466977868,0.28,0.05,-6.424184102835511,random,0.724484920501709
21,180.91536873029932,90.12013849736054,0.4109482630629561,0.28400000000000003,0.0525,-7.26555280707164,random,0.7404177188873291
22,153.11378768462643,53.62742075228901,0.4094788726671071,0.28800000000000003,0.055,-10.99491719805087,random,0.49016332626342773
23,158.03916105696428,68.27048695310165,0.40790499596686863,0.29200000000000004,0.0575,-11.073656815857715,random,0.6580967903137207
24,168.66747242536997,-13.359969497183855,0.4065495886285348,0.29600000000000004,0.06,-8.808700831807972,random,0.8544051647186279
25,177.31692711375993,49.005483024266525,0.405439347617433,0.30000000000000004,0.0625,-8.010651247644267,random,0.8492889404296875
26,156.23341383471276,42.6843576000122,0.404476947602715,0.30400000000000005,0.065,-11.87899734046204,random,0.6498851776123047
27,170.26400752148106,57.15285763596479,0.40354025437943414,0.30800000000000005,0.0675,-9.081653936903454,random,0.7571911811828613
28,159.89414174028434,45.8329748415342,0.4027803904641354,0.31200000000000006,0.07,-9.70508817742541,random,0.7565739154815674
29,202.30977941867147,3.596256471011851,0.40192643338328676,0.316,0.0725,-6.267620800390452,random,0.9827442169189453
30,144.48116357162613,73.56867519872083,0.40109054819731266,0.32,0.075,-11.915181190755726,random,0.6018269062042236
31,164.39839154075852,53.757497208313495,0.4003609981571269,0.324,0.0775,-9.61443331829467,random,0.767078161239624
32,162.1162587292101,7.308507247616328,0.3997416897044514,0.328,0.08,-9.14128590938552,random,0.6953611373901367
33,156.77924791963122,6.89699167308174,0.3992135654539216,0.332,0.0825,-8.040188611205444,random,0.8317661285400391
34,177.52849516632315,51.307804883161836,0.3986918727507418,0.336,0.085,-8.562450154914648,random,0.8337399959564209
35,170.88526818460522,40.77552152278391,0.398388422012144,0.33999999999999997,0.0875,-9.900266481504348,random,0.8138737678527832
36,167.7348733820994,72.22324723547474,0.39811076678570717,0.344,0.09,-11.12327324662574,random,0.8286111354827881
37,195.3364668138922,-1.721320668087344,0.3978647390304662,0.348,0.0925,-6.647324076747932,random,1.1588821411132812
38,187.91298211150752,20.89196063467704,0.39782044164720193,0.35200000000000004,0.095,-8.658200876258379,random,1.013092041015625
39,184.04481822762327,33.68729239949333,0.3978769505580618,0.35600000000000004,0.0975,-9.074310642327678,random,0.9790909290313721
40,168.29251328374468,60.37970886860203,0.3977251710215895,0.36000000000000004,0.1,-11.128678660103072,random,0.7961940765380859
41,231.96121505040287,37.70198676077412,0.39751654768785577,0.364,0.1025,-11.157159938484096,random,0.8762161731719971
42,257.58719755359357,44.104897941287355,0.39732982581381443,0.368,0.105,-6.575950268997825,random,1.3906972408294678
43,237.64614838199586,74.61650683177388,0.3974411340122714,0.372,0.1075,-11.580579292611485,random,0.8974859714508057
44,304.5734231140421,78.88407506222475,0.39749870702811807,0.376,0.11,-7.774277927001926,random,1.8764069080352783
45,336.4715713935207,83.31944698473936,0.3974587752699826,0.38,0.1125,-6.953267270878047,random,2.2207438945770264
46,287.1408272045765,71.85404637922713,0.3975289988788627,0.384,0.115,-8.299994309608284,random,1.3927240371704102
47,322.54707810057886,80.3896623800418,0.39756983991150396,0.388,0.1175,-6.59841832932734,random,1.8421318531036377
48,312.20038324627336,122.69550229744338,0.39741516148165823,0.392,0.12,-8.376046502167302,random,2.0995237827301025
49,339.34661118808657,136.6333380210753,0.39725334279619545,0.396,0.1225,-9.51960044530206,random,2.342241048812866
50,325.40323040662537,60.85229679729434,0.39710201277792373,0.4,0.125,-9.195198494593562,random,1.8094508647918701
51,327.3129195602384,159.18534701168906,0.39693612935608613,0.404,0.1275,-6.710212210513694,random,2.5338168144226074
52,338.0128507904378,124.59816700730548,0.39680952613997117,0.40800000000000003,0.13,-7.5164778177344544,random,2.0942490100860596
53,325.2215136810466,98.01009078133991,0.3967927475417026,0.41200000000000003,0.1325,-7.046044784381565,random,1.9726049900054932
54,341.50039716881093,155.59054271723096,0.3967212378579762,0.41600000000000004,0.135,-8.50452155475141,random,2.6825168132781982
55,349.4945339225903,164.816642786303,0.39680246617427806,0.42000000000000004,0.1375,-8.128253514420965,random,2.5030531883239746
