gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-56.111705811327276,-74.15349719818869,0.4905785933552478,0.2,0.0,-1.6,moon,1.5725510120391846
1,-53.614044312173945,-71.32147090382212,0.48247283149593695,0.20400000000000001,0.0025,-1.6,moon,0.1806020736694336
2,-51.42819846506441,-64.99897046850347,0.47528666458111646,0.20800000000000002,0.005,-1.6,moon,0.18355298042297363
3,-53.81129748857425,-63.11510468012288,0.4689292231504769,0.21200000000000002,0.0075,-1.6,moon,0.227294921875
4,-51.5068308922842,-61.69857196568506,0.46326793797242516,0.21600000000000003,0.01,-1.6,moon,0.23025298118591309
5,-50.20845682937054,-60.92105686428031,0.45817412611036035,0.22000000000000003,0.0125,-1.6,moon,0.2602348327636719
6,-45.69679819066508,-59.72092820406082,0.45356009367094346,0.224,0.015,-1.6,moon,0.28336596488952637
7,-49.26911039122681,-58.786301714064734,0.4493911710094794,0.228,0.0175,-1.6,moon,0.26668500900268555
8,-43.28724135809667,-55.34086965969609,0.4456354873889121,0.232,0.02,-1.6,moon,0.3231086730957031
9,22.804054082732346,-53.75534965348879,0.44244075774043806,0.23600000000000002,0.0225,-1.6,moon,0.41030097007751465
10,-28.599165518317758,-52.65789458435613,0.43972023469241694,0.24000000000000002,0.025,-1.6,moon,0.3996007442474365
11,-25.09472456128645,-51.53475984559607,0.43716830883669383,0.24400000000000002,0.0275,-1.6,moon,0.47568392753601074
12,-18.223207250045363,-53.10595450464227,0.4348426682598118,0.248,0.03,-1.6,moon,0.5000600814819336
13,49.990873759008174,-54.82435170681678,0.43242874211771964,0.252,0.0325,-1.6,moon,0.49469423294067383
14,-32.316719997533404,-58.74203431201611,0.4301619446145523,0.256,0.035,-1.6,moon,0.5008108615875244
15,-24.673436100352248,-58.719264127219574,0.4280332623886806,0.26,0.0375,-1.6,moon,0.5185139179229736
16,-13.573777739767857,-52.36357793782933,0.42629830135249225,0.264,0.04,-1.6,moon,0.578303337097168
17,-1.2479666681197088,-51.50611561368635,0.4246636271644786,0.268,0.0425,-1.6,moon,0.628715991973877
18,13.838418780526235,-50.72423165008176,0.4230085491498011,0.272,0.045,-1.6,moon,0.6246819496154785
19,64.33906765417129,-50.730331613853934,0.42159321060080784,0.276,0.0475,-1.6,moon,0.6957311630249023
20,47.067114056521575,-45.70299329044768,0.42033649829856123,0.28,0.05,-1.6,moon,0.7666709423065186
21,167.38837211423996,-30.670431349519937,0.4190624764506244,0.28400000000000003,0.0525,-1.6,moon,0.7671670913696289
22,66.79955342759729,-41.31423080464634,0.417866118460456,0.28800000000000003,0.055,-1.6,moon,0.7900547981262207
23,147.81585003830827,-32.95586075809074,0.41682455729740586,0.29200000000000004,0.0575,-1.6,moon,0.925745964050293
24,169.755550923193,-20.269490842555975,0.41596259951149556,0.29600000000000004,0.06,-1.6,moon,0.9585399627685547
25,143.32729442952592,-16.543079033408976,0.4151527643493276,0.30000000000000004,0.0625,-1.6,moon,1.0016348361968994
26,178.23625194390556,18.816518948552023,0.41438340540629026,0.30400000000000005,0.065,-1.6,moon,1.174787998199463
27,207.20332793054203,37.048412100600224,0.4137983462554655,0.30800000000000005,0.0675,-1.6,moon,1.3036658763885498
28,240.9009911272221,37.81755583620243,0.41340628626901305,0.31200000000000006,0.07,-1.6,moon,1.2486989498138428
29,241.9326609130513,80.83876723741687,0.4132062157532279,0.316,0.0725,-1.6,moon,1.3212008476257324
